Year,Name,Performance,Seed,Snake,ESPN BPI,ESPN PVA,AP PRE,AP POST,COACH PRE,COACH POST,Win Pct,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,3FG,3PG,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,FT,FTA,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,AST,APG,TO,TOPG,AST/TO Ratio,Opp TO,TO Diff,BLKS,BKPG,ST,STPG,Fouls,PFPG,DQ
2013,Akron,2,12,51,73.5,8.2,0,0,0,0,81.3,2327,72.7,1983,62,10.8,837,1831,45.7,688,1766,39,228,7.1,542,42.06642066,528,168,31.8,425,659,64.5,1215,38,1023,32,6,480,15,436,13.6,1.1,442,0.2,183,5.7,229,7.2,565,17.7,8
2013,Albany (NY),2,15,62,51.6,0.5,0,0,0,0,70.6,2190,64.4,2050,60.3,4.1,742,1696,43.8,760,1802,42.2,204,6,489,41.71779141,629,208,33.1,502,684,73.4,1142,33.6,1041,30.6,3,380,11.2,455,13.4,0.84,427,-0.8,69,2,185,5.4,545,16,6
2013,Arizona,4,6,21,83,12.7,902,259,411,183,78.1,2345,73.3,2038,63.7,9.6,801,1781,45,726,1748,41.5,245,7.7,526,46.57794677,531,191,36,498,666,74.8,1160,36.3,968,30.3,6,443,13.8,419,13.1,1.06,441,0.7,125,3.9,222,6.9,523,16.3,13
2013,Belmont,2,11,44,73.7,8.2,0,0,0,0,81.3,2469,77.2,2048,64,13.2,886,1793,49.4,696,1697,41,271,8.5,546,49.63369963,633,209,33,426,581,73.3,1031,32.2,1056,33,-0.8,509,15.9,432,13.5,1.18,556,3.9,88,2.8,315,9.8,586,18.3,4
2013,Boise St.,1,13,45,74.5,8.6,0,0,0,0,67.7,2272,73.3,2015,65,8.3,798,1737,45.9,678,1574,43.1,242,7.8,629,38.47376789,603,200,33.2,434,579,75,1052,33.9,922,29.7,4.2,409,13.2,375,12.1,1.09,420,1.5,53,1.7,209,6.7,586,18.9,16
2013,Bucknell,2,11,48,71.1,7.2,0,0,0,0,84.8,2221,67.3,1898,57.5,9.8,795,1745,45.6,683,1809,37.8,152,4.6,592,25.67567568,559,174,31.1,479,644,74.4,1193,36.2,1001,30.3,5.8,442,13.4,312,9.5,1.42,302,-0.3,135,4.1,118,3.6,478,14.5,2
2013,Butler,3,6,22,74.7,8.7,0,0,0,0,76.5,2355,69.3,2169,63.8,5.5,825,1820,45.3,761,1822,41.8,225,6.6,737,30.52917232,573,191,33.3,480,697,68.9,1246,36.6,985,29,7.7,444,13.1,454,13.4,0.98,382,-2.1,83,2.4,193,5.7,612,18,13
2013,California,3,12,42,72,7.6,0,0,0,0,64.5,2094,67.5,1996,64.4,3.2,785,1760,44.6,716,1810,39.6,125,4,790,15.82278481,532,179,33.6,399,550,72.5,1153,37.2,1054,34,3.2,436,14.1,389,12.5,1.12,343,-1.5,147,4.7,179,5.8,506,16.3,13
2013,Cincinnati,2,10,37,76.7,9.5,120,0,33,0,66.7,2199,66.6,1939,58.8,7.9,764,1899,40.2,697,1809,38.5,225,6.8,521,43.18618042,547,164,30,446,687,64.9,1320,40,1107,33.5,6.5,403,12.2,423,12.8,0.95,436,0.4,204,6.2,231,7,584,17.7,14
2013,Colorado,2,10,36,75.8,9.1,0,0,0,0,65.6,2181,68.2,2041,63.8,4.4,758,1737,43.6,753,1866,40.4,173,5.4,473,36.57505285,669,216,32.3,492,719,68.4,1191,37.2,1082,33.8,3.4,321,10,424,13.3,0.76,414,-0.3,100,3.1,225,7,505,15.8,13
2013,Colorado St.,3,8,30,78.5,10.4,0,0,0,0,75.8,2413,73.1,2075,62.9,10.2,837,1870,44.8,712,1740,40.9,168,5.1,677,24.81536189,655,221,33.7,571,801,71.3,1334,40.4,936,28.4,12.1,431,13.1,355,10.8,1.21,366,0.3,67,2,161,4.9,564,17.1,6
2013,Creighton,3,7,25,83.1,12.8,622,215,325,142,79.4,2563,75.4,2145,63.1,12.3,907,1787,50.8,799,1961,40.7,298,8.8,666,44.74474474,649,203,31.3,451,601,75,1198,35.2,1030,30.3,4.9,584,17.2,417,12.3,1.4,359,-1.7,88,2.6,170,5,551,16.2,6
2013,Davidson,2,14,55,68.3,6.2,0,0,0,0,78.8,2432,73.7,2051,62.2,11.5,818,1767,46.3,719,1747,41.2,250,7.6,722,34.62603878,462,151,32.7,546,682,80.1,1116,33.8,1037,31.4,2.4,461,14,360,10.9,1.28,405,1.4,97,2.9,187,5.7,584,17.7,8
