Year,Name,Performance,Seed,Snake,RPI,SOS,LRPI,OFFQ,DEFQ,ASM,ESPN BPI,ESPN PVA,AP PRE,AP POST,COACH PRE,COACH POST,Win Pct,PPG,OPP PPG,SCR MAR,FG%,OPP FG%,3PG,3FG%,Opp 3FG%,FT%,RPG,OPP RPG,REB MAR,APG,TOPG,AST/TO Ratio,TO Diff,BKPG,STPG,PFPG,DQ
2012,Alabama,2,9,33,0.587,32,45,-1.1,10.5,9.5,78,10.2,395,0,194,0,65.6,64.9,58.1,6.8,45.2,38.8,4,34.84680851,28.3,71.5,35.2,32.5,2.7,12.3,12.9,0.95,0.7,4.2,7.3,18.4,10
2012,Baylor,5,3,9,0.6287,9,4,8.2,4.5,12.7,81.7,12,892,1064,358,481,79.4,74.9,64.9,9.9,47,41.4,6.8,38.1,33.7,75.1,36.5,31.4,5,15,13.9,1.08,0.4,4.8,7.6,17.6,8
2012,Belmont,2,14,57,0.5664,238,85,11.4,0.8,12.2,75.1,8.9,0,0,0,0,79.4,81.5,67.3,14.2,48.4,42.4,8.8,37.8,33.8,73.7,36.3,33.3,3.1,17.4,12.4,1.4,2.1,2.3,7.4,18.1,9
2012,BYU,2,14,48,0.5746,110,71,9.9,0.8,10.7,71.1,7.2,0,0,0,0,75.8,78.2,66.6,11.6,46.8,41.2,6.6,34.2,31.1,70.5,38.5,34.2,4.3,17,13.2,1.29,2.5,4.3,8.5,18.2,15
2012,California,1,12,45,0.5826,91,33,5.4,5.7,11.1,76.9,9.7,230,0,111,0,72.7,71.7,61.8,9.9,47.9,41.1,4.6,34.84680851,32.7,74.6,34.9,30.5,4.4,16.1,12.2,1.31,0.7,3.2,4.8,14.4,7
2012,Cincinnati,4,6,22,0.5783,87,27,2.6,6.1,8.7,75.1,8.9,353,89,141,22,70.6,68.5,61.2,7.3,42,41.2,7.1,34.3,31.7,64.1,36.2,36,0.2,13,10.6,1.22,3.5,4.6,8.1,15.1,11
2012,Colorado,3,11,44,0.5672,90,78,0.5,3.7,4.2,65.3,5.1,0,0,0,0,67.6,67.6,62.5,5.1,44.5,40.6,5.5,34.3,32.3,69.4,35.7,32.6,3.1,11.7,12.7,0.92,-0.2,3.3,5.9,17.1,9
2012,Colorado St.,2,11,41,0.6019,4,66,5.8,-0.2,5.6,67.6,5.9,0,0,0,0,64.5,71,68.4,2.7,47.6,43.6,6,40.5,35.7,76.9,31.3,30.3,1,12.3,12.5,0.99,-0.4,1.9,5.4,18.8,16
2012,Creighton,3,8,29,0.6021,131,26,12.4,-1.9,10.5,78.4,10.4,12,373,19,199,84.8,80,69.5,10.5,50.9,43.8,8.2,42.5,35.6,73.2,36.2,30.1,6.1,17.9,12.3,1.46,-1.8,2.3,4.8,17.1,6
2012,Davidson,2,13,53,0.5662,180,93,8.7,-0.2,8.5,68.9,6.4,0,0,0,0,78.1,78.4,67.8,10.6,44.9,42.7,7.8,33.9,34.3,76.4,38.9,32.2,6.7,13.8,11.8,1.17,0.7,3.4,5.6,20.3,20
